TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
ADMU,2025.0,219.0,651.0,146.0,367.0,73.0,284.0,132.0,233.0,643.0,118.0,246.0,364.0,160.0,100.0,72.0,20.0,92.0,216.0,224.0,-58.0,36.0,10.0,3.0,7.0,33.64055299539171,39.782016348773844,25.704225352112676,56.652360515021456
AdU,2025.0,201.0,599.0,137.0,378.0,64.0,221.0,120.0,187.0,586.0,123.0,308.0,431.0,139.0,171.0,67.0,46.0,113.0,200.0,189.0,-65.0,43.0,10.0,3.0,7.0,33.5559265442404,36.24338624338624,28.959276018099548,64.1711229946524
DLSU,2225.0,301.0,731.0,207.0,458.0,94.0,273.0,154.0,230.0,850.0,170.0,369.0,539.0,237.0,210.0,77.0,38.0,115.0,220.0,223.0,137.0,128.0,11.0,10.0,1.0,41.1764705882353,45.19650655021834,34.43223443223443,66.95652173913044
FEU,2050.0,232.0,672.0,190.0,468.0,42.0,204.0,121.0,177.0,627.0,132.0,326.0,458.0,118.0,145.0,64.0,38.0,102.0,172.0,191.0,-44.0,32.0,10.0,3.0,7.0,34.523809523809526,40.598290598290596,20.58823529411765,68.36158192090396
NU,2000.0,231.0,664.0,180.0,447.0,51.0,217.0,121.0,185.0,634.0,137.0,275.0,412.0,135.0,136.0,64.0,22.0,86.0,227.0,199.0,-54.0,29.0,10.0,2.0,8.0,34.78915662650602,40.26845637583892,23.502304147465438,65.4054054054054
UE,1800.0,199.0,523.0,133.0,325.0,66.0,198.0,124.0,197.0,588.0,86.0,243.0,329.0,125.0,128.0,68.0,25.0,93.0,196.0,197.0,5.0,72.0,9.0,6.0,3.0,38.04971319311664,40.92307692307692,33.333333333333336,62.944162436548226
UP,1800.0,251.0,573.0,195.0,384.0,56.0,189.0,117.0,183.0,675.0,105.0,279.0,384.0,167.0,143.0,66.0,38.0,104.0,198.0,199.0,96.0,113.0,9.0,8.0,1.0,43.80453752181501,50.78125,29.62962962962963,63.9344262295082
UST,2225.0,287.0,733.0,200.0,415.0,87.0,318.0,129.0,195.0,790.0,125.0,313.0,438.0,191.0,156.0,79.0,24.0,103.0,226.0,210.0,-17.0,63.0,11.0,5.0,6.0,39.15416098226466,48.19277108433735,27.358490566037737,66.15384615384616
League,2018.75,240.125,643.25,173.5,405.25,66.625,238.0,127.25,198.375,674.125,124.5,294.875,419.375,159.0,148.625,69.625,31.375,101.0,206.875,204.0,0.0,64.5,10.0,5.0,5.0,37.32996502137583,42.81307834669957,27.993697478991596,64.14618777567738
